# BLOCK:     DISTANCE:     ACTUAL_AVE_GOFR:
           9     1.09876     2.05101
           9     1.16339     2.25355
           9     1.22803     2.08012
           9     1.29266     1.81732
           9     1.35729     1.62449
           9     1.42193     1.45142
           9     1.48656     1.33279
           9     1.55119     1.24009
           9     1.61583     1.18416
           9     1.68046     1.14109
           9     1.74509     1.11349
           9     1.80973     1.09807
           9     1.87436     1.08032
           9     1.93899     1.06243
           9     2.00362     1.06731
           9     2.06826      1.0558
           9     2.13289     1.05655
           9     2.19752      1.0529
           9     2.26216     1.04672
           9     2.32679     1.04878
           9     2.39142     1.03996
           9     2.45606     1.03397
           9     2.52069     1.01948
           9     2.58532     1.02467
           9     2.64995     1.02062
           9     2.71459     1.01353
           9     2.77922     1.00928
           9     2.84385     1.00966
           9     2.90849     1.00287
           9     2.97312     1.00193
           9     3.03775    0.997512
           9     3.10239    0.998848
           9     3.16702    0.998861
           9     3.23165    0.998569
           9     3.29629    0.995968
           9     3.36092    0.995349
           9     3.42555    0.995459
           9     3.49018    0.996846
           9     3.55482    0.993055
           9     3.61945    0.990234
           9     3.68408    0.992221
           9     3.74872    0.988047
           9     3.81335    0.990358
           9     3.87798     0.98767
           9     3.94262    0.993532
           9     4.00725    0.989719
           9     4.07188    0.987641
           9     4.13651    0.988686
           9     4.20115    0.989228
           9     4.26578    0.986524
           9     4.33041    0.986842
           9     4.39505    0.988032
           9     4.45968    0.988817
           9     4.52431    0.988244
           9     4.58895    0.986999
           9     4.65358    0.985987
           9     4.71821    0.986369
           9     4.78285    0.986039
           9     4.84748    0.986533
           9     4.91211    0.987505
           9     4.97674    0.986778
           9     5.04138     0.98718
           9     5.10601    0.984913
           9     5.17064    0.985201
           9     5.23528    0.987646
           9     5.29991    0.986507
           9     5.36454    0.987443
           9     5.42918    0.989142
           9     5.49381    0.985861
           9     5.55844    0.988167
           9     5.62307      0.9868
           9     5.68771    0.985513
           9     5.75234    0.986021
           9     5.81697    0.987595
           9     5.88161    0.985494
           9     5.94624    0.987812
           9     6.01087     0.98695
           9     6.07551    0.986661
           9     6.14014    0.985528
           9     6.20477    0.988574
           9      6.2694    0.986528
           9     6.33404    0.985319
           9     6.39867     0.98588
           9      6.4633    0.986629
          10    0.064633           0
          10    0.129266           0
          10    0.193899           0
          10    0.258532           0
          10    0.323165           0
          10    0.387798           0
          10    0.452431           0
          10    0.517064           0
          10    0.581697           0
          10     0.64633           0
          10    0.710963           0
          10    0.775596           0
          10     0.84023           0
          10    0.904863 0.000838155
          10    0.969496    0.152789
          10     1.03413     1.04607
          10     1.09876     2.03478
          10     1.16339     2.30109
          10     1.22803     2.09462
          10     1.29266     1.80805
          10     1.35729     1.60223
          10     1.42193     1.46459
          10     1.48656     1.33747
          10     1.55119     1.25118
          10     1.61583     1.18914
          10     1.68046     1.14601
          10     1.74509     1.11006
          10     1.80973     1.08425
          10     1.87436     1.07588
          10     1.93899      1.0642
          10     2.00362     1.06311
          10     2.06826     1.06375
          10     2.13289     1.05032
          10     2.19752     1.05644
          10     2.26216     1.05587
          10     2.32679     1.03982
          10     2.39142     1.03355
          10     2.45606     1.03563
          10     2.52069     1.02541
          10     2.58532     1.01898
          10     2.64995     1.01131
          10     2.71459     1.01586
          10     2.77922     1.01273
          10     2.84385     1.00525
          10     2.90849     1.00663
          10     2.97312     1.00224
          10     3.03775     1.00246
          10     3.10239     1.00263
          10     3.16702    0.998898
          10     3.23165      1.0036
          10     3.29629    0.993999
          10     3.36092    0.992373
          10     3.42555    0.991452
          10     3.49018    0.990046
          10     3.55482    0.990677
          10     3.61945    0.999221
          10     3.68408     0.99007
          10     3.74872    0.987397
          10     3.81335    0.989018
          10     3.87798    0.991296
          10     3.94262    0.991346
          10     4.00725    0.987509
          10     4.07188    0.992163
          10     4.13651    0.988645
          10     4.20115    0.992225
          10     4.26578    0.988308
          10     4.33041    0.991544
          10     4.39505    0.987404
          10     4.45968    0.981847
          10     4.52431    0.990397
          10     4.58895    0.987325
          10     4.65358    0.985942
          10     4.71821    0.985484
          10     4.78285    0.989181
          10     4.84748    0.984348
          10     4.91211    0.987689
          10     4.97674    0.987562
          10     5.04138    0.984564
          10     5.10601    0.986664
          10     5.17064    0.983877
          10     5.23528    0.985851
